Time,Human Count,Social Distance violate,Restricted Entry,Abnormal Activity
2024-04-21 14:16:51.374526,0,0,0,0
2024-04-21 14:16:52.065708,0,0,0,0
2024-04-21 14:16:52.245329,3,0,0,0
2024-04-21 14:16:52.445599,3,0,0,0
2024-04-21 14:16:52.619730,4,0,0,0
2024-04-21 14:16:52.824939,4,0,0,0
2024-04-21 14:16:53.099176,4,0,0,0
2024-04-21 14:16:53.289305,4,0,0,0
2024-04-21 14:16:53.503129,4,0,0,0
2024-04-21 14:16:53.686305,4,0,0,0
2024-04-21 14:16:53.868779,4,0,0,0
2024-04-21 14:16:54.088872,3,0,0,0
2024-04-21 14:16:54.317331,4,0,0,1
2024-04-21 14:16:54.556580,4,0,0,0
2024-04-21 14:16:54.802007,6,0,0,0
2024-04-21 14:16:55.032392,6,0,0,0
2024-04-21 14:16:55.262913,6,0,0,0
2024-04-21 14:16:55.520487,7,0,0,0
2024-04-21 14:16:55.724192,7,0,0,0
2024-04-21 14:16:55.941353,7,0,0,0
2024-04-21 14:16:56.162218,5,0,0,0
2024-04-21 14:16:56.383555,5,0,0,0
2024-04-21 14:16:56.567274,6,0,0,0
2024-04-21 14:16:56.751927,6,0,0,0
2024-04-21 14:16:57.004272,5,0,0,0
2024-04-21 14:16:57.218390,5,0,0,0
2024-04-21 14:16:57.459164,6,0,0,0
2024-04-21 14:16:57.682964,6,0,0,0
2024-04-21 14:16:57.887499,6,0,0,1
2024-04-21 14:16:58.122883,5,0,0,0
2024-04-21 14:16:58.307890,5,0,0,0
2024-04-21 14:16:58.506456,5,0,0,0
2024-04-21 14:16:58.709921,5,0,0,0
2024-04-21 14:16:58.897639,5,0,0,0
2024-04-21 14:16:59.089015,3,0,0,1
2024-04-21 14:16:59.277577,3,0,0,1
2024-04-21 14:16:59.480462,4,0,0,0
2024-04-21 14:16:59.705333,3,0,0,0
2024-04-21 14:16:59.923065,3,0,0,0
2024-04-21 14:17:00.126212,4,0,0,0
2024-04-21 14:17:00.306022,4,0,0,0
2024-04-21 14:17:00.493297,4,0,0,0
2024-04-21 14:17:00.716718,4,0,0,0
2024-04-21 14:17:00.914611,5,0,0,0
2024-04-21 14:17:01.079361,4,0,0,0
2024-04-21 14:17:01.265245,4,0,0,0
2024-04-21 14:17:01.536252,5,0,0,0
2024-04-21 14:17:01.787404,4,0,0,0
2024-04-21 14:17:01.990993,5,0,0,0
2024-04-21 14:17:02.235283,5,0,0,0
2024-04-21 14:17:02.482204,5,0,0,0
2024-04-21 14:17:02.714941,5,0,0,0
2024-04-21 14:17:02.897106,5,0,0,0
2024-04-21 14:17:03.100053,5,0,0,0
2024-04-21 14:17:03.327554,5,0,0,0
2024-04-21 14:17:03.525846,5,0,0,0
2024-04-21 14:17:03.716904,5,0,0,0
2024-04-21 14:17:03.934818,5,0,0,0
2024-04-21 14:17:04.132585,5,0,0,0
2024-04-21 14:17:04.354218,5,0,0,0
2024-04-21 14:17:04.594431,5,0,0,0
2024-04-21 14:17:04.806581,5,0,0,0
2024-04-21 14:17:05.066293,5,0,0,0
2024-04-21 14:17:05.295130,5,0,0,0
2024-04-21 14:17:05.514986,5,0,0,0
2024-04-21 14:17:05.717763,4,0,0,0
2024-04-21 14:17:05.922134,4,0,0,0
2024-04-21 14:17:06.104596,4,0,0,0
2024-04-21 14:17:06.298916,5,0,0,0
2024-04-21 14:17:06.542169,5,0,0,0
2024-04-21 14:17:06.758387,5,0,0,0
2024-04-21 14:17:06.985325,5,0,0,0
2024-04-21 14:17:07.187286,5,0,0,0
2024-04-21 14:17:07.403403,5,0,0,0
2024-04-21 14:17:07.614963,4,0,0,0
2024-04-21 14:17:07.804245,4,0,0,0
2024-04-21 14:17:07.994995,4,0,0,0
2024-04-21 14:17:08.232995,4,0,0,0
2024-04-21 14:17:08.433880,3,0,0,0
2024-04-21 14:17:08.643673,3,0,0,0
2024-04-21 14:17:08.840438,3,0,0,0
2024-04-21 14:17:09.060127,4,0,0,1
2024-04-21 14:17:09.289667,4,0,0,1
2024-04-21 14:17:09.500676,4,0,0,0
2024-04-21 14:17:09.695153,4,0,0,0
2024-04-21 14:17:09.925528,4,0,0,0
2024-04-21 14:17:10.135351,4,0,0,1
2024-04-21 14:17:10.342557,4,0,0,1
2024-04-21 14:17:10.566932,4,0,0,0
2024-04-21 14:17:10.787000,4,0,0,0
2024-04-21 14:17:11.014859,4,0,0,0
2024-04-21 14:17:11.229426,4,0,0,0
2024-04-21 14:17:11.454203,4,0,0,0
2024-04-21 14:17:11.656630,4,0,0,0
2024-04-21 14:17:11.870555,4,0,0,0
2024-04-21 14:17:12.101075,4,0,0,0
2024-04-21 14:17:12.312296,4,0,0,0
2024-04-21 14:17:12.518983,4,0,0,0
2024-04-21 14:17:12.742908,4,0,0,0
2024-04-21 14:17:12.931159,4,0,0,0
2024-04-21 14:17:13.137254,4,0,0,0
2024-04-21 14:17:13.340120,4,0,0,0
2024-04-21 14:17:13.571776,4,0,0,0
2024-04-21 14:17:13.807410,4,0,0,0
2024-04-21 14:17:14.023823,4,0,0,0
2024-04-21 14:17:14.258017,4,0,0,0
2024-04-21 14:17:14.471726,4,0,0,0
2024-04-21 14:17:14.675339,4,0,0,0
2024-04-21 14:17:14.922618,4,0,0,0
2024-04-21 14:17:15.120985,4,0,0,0
2024-04-21 14:17:15.330866,4,0,0,0
2024-04-21 14:17:15.543445,4,0,0,0
2024-04-21 14:17:15.756260,4,0,0,0
2024-04-21 14:17:15.952717,4,0,0,0
2024-04-21 14:17:16.158597,4,0,0,0
2024-04-21 14:17:16.385168,4,0,0,0
2024-04-21 14:17:16.617828,4,0,0,0
2024-04-21 14:17:16.855268,4,0,0,0
2024-04-21 14:17:17.072498,4,0,0,1
2024-04-21 14:17:17.295138,4,0,0,0
2024-04-21 14:17:17.509868,4,0,0,0
2024-04-21 14:17:17.725453,4,0,0,0
2024-04-21 14:17:17.941735,4,0,0,0
2024-04-21 14:17:18.172517,4,0,0,0
2024-04-21 14:17:18.399215,4,0,0,0
2024-04-21 14:17:18.629216,4,0,0,0
2024-04-21 14:17:18.835520,4,0,0,1
2024-04-21 14:17:19.048863,4,0,0,0
2024-04-21 14:17:19.262801,5,0,0,0
2024-04-21 14:17:19.511707,5,0,0,0
2024-04-21 14:17:19.751204,5,0,0,0
2024-04-21 14:17:20.023285,5,0,0,0
2024-04-21 14:17:20.228235,5,0,0,0
2024-04-21 14:17:20.450551,5,0,0,1
2024-04-21 14:17:20.662818,4,0,0,1
2024-04-21 14:17:20.897386,4,0,0,0
2024-04-21 14:17:21.072978,4,0,0,0
2024-04-21 14:17:21.306062,4,0,0,1
2024-04-21 14:17:21.540470,4,0,0,0
2024-04-21 14:17:21.827659,4,0,0,0
2024-04-21 14:17:22.022364,4,0,0,0
2024-04-21 14:17:22.234476,4,0,0,0
2024-04-21 14:17:22.458010,4,0,0,0
2024-04-21 14:17:22.707233,4,0,0,0
2024-04-21 14:17:22.920170,4,0,0,0
2024-04-21 14:17:23.117504,4,0,0,0
2024-04-21 14:17:23.333129,4,0,0,0
2024-04-21 14:17:23.547653,4,0,0,0
2024-04-21 14:17:23.789644,4,0,0,0
2024-04-21 14:17:24.031900,4,0,0,0
2024-04-21 14:17:24.257648,4,0,0,0
2024-04-21 14:17:24.487967,4,0,0,0
2024-04-21 14:17:24.774711,4,0,0,1
2024-04-21 14:17:25.001858,5,0,0,0
2024-04-21 14:17:25.219839,5,0,0,0
2024-04-21 14:17:25.475505,5,0,0,0
2024-04-21 14:17:25.685404,5,0,0,0
2024-04-21 14:17:25.917118,5,0,0,0
2024-04-21 14:17:26.126823,5,0,0,0
2024-04-21 14:17:26.346944,5,0,0,0
2024-04-21 14:17:26.555322,5,0,0,0
2024-04-21 14:17:26.798982,5,0,0,0
2024-04-21 14:17:27.013127,5,0,0,0
2024-04-21 14:17:27.229871,5,0,0,0
2024-04-21 14:17:27.469021,4,0,0,0
2024-04-21 14:17:27.691594,4,0,0,0
2024-04-21 14:17:27.909191,4,0,0,0
2024-04-21 14:17:28.136690,4,0,0,0
2024-04-21 14:17:28.366394,4,0,0,1
2024-04-21 14:17:28.601525,4,0,0,0
2024-04-21 14:17:28.832114,4,0,0,0
2024-04-21 14:17:29.030162,4,0,0,0
2024-04-21 14:17:29.245361,4,0,0,0
2024-04-21 14:17:29.458653,4,0,0,0
2024-04-21 14:17:29.638203,4,0,0,0
2024-04-21 14:17:29.849579,4,0,0,0
2024-04-21 14:17:30.120348,4,0,0,0
2024-04-21 14:17:30.306649,4,0,0,0
2024-04-21 14:17:30.528591,4,0,0,0
2024-04-21 14:17:30.723311,4,0,0,0
2024-04-21 14:17:30.930623,4,0,0,0
2024-04-21 14:17:31.166694,4,0,0,0
2024-04-21 14:17:31.408407,4,0,0,0
2024-04-21 14:17:31.627796,4,0,0,0
2024-04-21 14:17:31.822612,4,0,0,0
2024-04-21 14:17:32.039481,4,0,0,0
2024-04-21 14:17:32.284316,4,0,0,0
2024-04-21 14:17:32.483587,4,0,0,0
2024-04-21 14:17:32.703931,4,0,0,0
2024-04-21 14:17:32.930421,4,0,0,0
2024-04-21 14:17:33.139137,4,0,0,0
2024-04-21 14:17:33.365436,4,0,0,0
2024-04-21 14:17:33.615036,4,0,0,0
2024-04-21 14:17:33.837902,5,0,0,0
2024-04-21 14:17:34.051692,5,0,0,0
2024-04-21 14:17:34.281701,5,0,0,0
2024-04-21 14:17:34.500221,5,0,0,0
2024-04-21 14:17:34.729412,5,0,0,0
2024-04-21 14:17:34.931821,5,0,0,0
2024-04-21 14:17:35.143984,4,0,0,0
2024-04-21 14:17:35.346150,4,0,0,0
2024-04-21 14:17:35.591848,4,0,0,0
2024-04-21 14:17:35.790713,4,0,0,0
2024-04-21 14:17:35.994685,4,0,0,0
2024-04-21 14:17:36.223713,4,0,0,0
2024-04-21 14:17:36.436056,4,0,0,0
2024-04-21 14:17:36.635933,4,0,0,0
2024-04-21 14:17:36.827850,4,0,0,0
2024-04-21 14:17:37.050142,4,0,0,0
2024-04-21 14:17:37.248530,4,0,0,0
2024-04-21 14:17:37.462572,4,0,0,0
2024-04-21 14:17:37.665940,4,0,0,0
2024-04-21 14:17:37.975461,4,0,0,0
2024-04-21 14:17:38.207913,4,0,0,0
2024-04-21 14:17:38.432176,4,0,0,0
2024-04-21 14:17:38.679360,4,0,0,0
2024-04-21 14:17:38.920886,4,0,0,0
2024-04-21 14:17:39.119024,4,0,0,0
2024-04-21 14:17:39.317162,4,0,0,0
2024-04-21 14:17:39.544225,4,0,0,0
2024-04-21 14:17:39.771235,4,0,0,0
2024-04-21 14:17:40.055114,4,0,0,0
2024-04-21 14:17:40.273771,4,0,0,0
2024-04-21 14:17:40.491057,4,0,0,0
2024-04-21 14:17:40.733645,4,0,0,0
2024-04-21 14:17:40.938130,4,0,0,0
2024-04-21 14:17:41.164329,4,0,0,0
2024-04-21 14:17:41.372117,4,0,0,0
2024-04-21 14:17:41.587240,4,0,0,0
2024-04-21 14:17:41.802694,4,0,0,0
2024-04-21 14:17:42.012922,4,0,0,0
2024-04-21 14:17:42.222848,4,0,0,0
2024-04-21 14:17:42.494197,4,0,0,0
2024-04-21 14:17:42.680190,4,0,0,0
2024-04-21 14:17:42.903438,4,0,0,0
2024-04-21 14:17:43.143483,4,0,0,0
2024-04-21 14:17:43.350388,4,0,0,0
2024-04-21 14:17:43.579239,4,0,0,0
2024-04-21 14:17:43.802602,4,0,0,0
2024-04-21 14:17:44.015877,4,0,0,0
2024-04-21 14:17:44.231871,4,0,0,0
2024-04-21 14:17:44.494440,4,0,0,0
2024-04-21 14:17:44.744069,4,0,0,0
2024-04-21 14:17:44.963713,4,0,0,0
2024-04-21 14:17:45.179185,4,0,0,0
2024-04-21 14:17:45.403566,4,0,0,0
2024-04-21 14:17:45.637656,4,0,0,0
2024-04-21 14:17:45.857376,4,0,0,0
2024-04-21 14:17:46.101019,4,0,0,0
2024-04-21 14:17:46.329339,4,0,0,0
2024-04-21 14:17:46.631116,4,0,0,0
2024-04-21 14:17:46.817761,4,0,0,0
2024-04-21 14:17:47.050284,4,0,0,0
2024-04-21 14:17:47.284812,4,0,0,0
2024-04-21 14:17:47.514327,4,0,0,0
2024-04-21 14:17:47.724273,4,0,0,0
2024-04-21 14:17:47.955171,4,0,0,0
2024-04-21 14:17:48.138298,3,0,0,0
2024-04-21 14:17:48.372355,3,0,0,0
2024-04-21 14:17:48.595487,3,0,0,0
2024-04-21 14:17:48.795756,4,0,0,0
2024-04-21 14:17:49.002631,4,0,0,0
2024-04-21 14:17:49.215263,4,0,0,0
2024-04-21 14:17:49.430730,4,0,0,0
2024-04-21 14:17:49.664412,5,0,0,0
2024-04-21 14:17:49.866213,5,0,0,0
2024-04-21 14:17:50.076998,5,0,0,0
2024-04-21 14:17:50.291690,5,0,0,0
2024-04-21 14:17:50.501028,5,0,0,0
2024-04-21 14:17:50.687924,5,0,0,0
2024-04-21 14:17:50.909178,5,0,0,0
2024-04-21 14:17:51.083692,5,0,0,0
2024-04-21 14:17:51.290912,5,0,0,0
2024-04-21 14:17:51.510252,4,0,0,0
2024-04-21 14:17:51.726846,5,0,0,0
2024-04-21 14:17:51.924001,5,0,0,0
2024-04-21 14:17:52.149420,5,0,0,0
2024-04-21 14:17:52.338686,5,0,0,0
2024-04-21 14:17:52.524468,5,0,0,0
2024-04-21 14:17:52.729999,5,0,0,0
2024-04-21 14:17:52.922508,4,0,0,0
2024-04-21 14:17:53.120581,4,0,0,0
2024-04-21 14:17:53.326884,4,0,0,0
2024-04-21 14:17:53.534975,4,0,0,0
2024-04-21 14:17:53.731791,4,0,0,0
2024-04-21 14:17:53.934711,4,0,0,0
2024-04-21 14:17:54.130103,4,0,0,0
2024-04-21 14:17:54.332630,4,0,0,0
2024-04-21 14:17:54.538910,4,0,0,0
2024-04-21 14:17:54.740925,4,0,0,0
2024-04-21 14:17:54.935348,4,0,0,0
2024-04-21 14:17:55.182452,4,0,0,0
2024-04-21 14:17:55.356934,4,0,0,0
2024-04-21 14:17:55.542019,4,0,0,0
2024-04-21 14:17:55.742900,4,0,0,0
2024-04-21 14:17:55.927958,4,0,0,0
2024-04-21 14:17:56.128485,4,0,0,0
2024-04-21 14:17:56.330188,4,0,0,0
2024-04-21 14:17:56.540300,4,0,0,0
2024-04-21 14:17:56.746832,4,0,0,0
2024-04-21 14:17:56.941441,4,0,0,0
2024-04-21 14:17:57.142367,4,0,0,0
2024-04-21 14:17:57.352988,4,0,0,0
2024-04-21 14:17:57.549546,4,0,0,1
2024-04-21 14:17:57.751174,4,0,0,0
2024-04-21 14:17:57.948049,4,0,0,0
2024-04-21 14:17:58.166312,4,0,0,0
2024-04-21 14:17:58.370588,4,0,0,0
2024-04-21 14:17:58.579626,4,0,0,0
2024-04-21 14:17:58.797925,5,0,0,0
2024-04-21 14:17:59.031378,5,0,0,0
2024-04-21 14:17:59.267740,5,0,0,0
2024-04-21 14:17:59.496439,5,0,0,0
2024-04-21 14:17:59.738248,5,0,0,0
2024-04-21 14:17:59.936367,5,0,0,0
2024-04-21 14:18:00.132900,5,0,0,0
2024-04-21 14:18:00.382636,5,0,0,0
2024-04-21 14:18:00.561738,5,0,0,0
2024-04-21 14:18:00.751477,5,0,0,0
2024-04-21 14:18:00.945332,4,0,0,0
2024-04-21 14:18:01.113252,4,0,0,0
2024-04-21 14:18:01.314727,4,0,0,0
2024-04-21 14:18:01.538797,4,0,0,0
2024-04-21 14:18:01.724556,4,0,0,0
2024-04-21 14:18:01.972568,4,0,0,0
2024-04-21 14:18:02.136652,4,0,0,0
2024-04-21 14:18:02.341309,4,0,0,0
2024-04-21 14:18:02.533208,4,0,0,0
2024-04-21 14:18:02.731055,4,0,0,0
2024-04-21 14:18:02.917861,4,0,0,0
2024-04-21 14:18:03.105477,4,0,0,0
2024-04-21 14:18:03.291056,4,0,0,0
2024-04-21 14:18:03.471872,4,0,0,1
2024-04-21 14:18:03.661891,3,0,0,1
2024-04-21 14:18:03.863702,4,0,0,0
2024-04-21 14:18:04.057236,4,0,0,0
2024-04-21 14:18:04.252888,4,0,0,0
2024-04-21 14:18:04.454035,4,0,0,0
2024-04-21 14:18:04.695797,4,0,0,0
2024-04-21 14:18:04.867541,4,0,0,0
2024-04-21 14:18:05.068995,4,0,0,0
2024-04-21 14:18:05.263834,4,0,0,0
2024-04-21 14:18:05.462572,4,0,0,0
2024-04-21 14:18:05.668220,4,0,0,0
2024-04-21 14:18:05.854500,4,0,0,0
2024-04-21 14:18:06.043670,4,0,0,0
2024-04-21 14:18:06.269797,4,0,0,0
2024-04-21 14:18:06.466729,4,0,0,0
2024-04-21 14:18:06.654259,4,0,0,0
2024-04-21 14:18:06.856992,4,0,0,0
2024-04-21 14:18:07.046226,4,0,0,0
2024-04-21 14:18:07.252649,4,0,0,0
2024-04-21 14:18:07.449057,4,0,0,1
2024-04-21 14:18:07.663361,5,0,0,0
2024-04-21 14:18:07.837529,5,0,0,0
2024-04-21 14:18:08.026087,5,0,0,0
2024-04-21 14:18:08.230798,5,0,0,0
