Track ID,Entry time,Exit Time,Movement Tracks
4,2024-04-20 18:29:21.691235,2024-04-20 18:29:23.441158,204,1180,200,1184,201,1184,206,1184
5,2024-04-20 18:29:22.079845,2024-04-20 18:29:26.972983,540,1129,541,1127,545,1133,544,1135,544,1127,547,1139,546,1137,545,1138,548,1136,549,1137,549,1135,549,1134,547,1137,547,1136,548,1135,547,1133,547,1134,546,1134,540,1175,542,1136,541,1131,533,1175,532,1176,529,1182,527,1183,537,1118,542,1100
2,2024-04-20 18:29:20.848307,2024-04-20 18:29:28.495316,42,1059,41,1062,41,1061,42,1060,42,1059,40,1059,37,1059,35,1059,35,1060,36,1060,35,1061,36,1060,35,1061,36,1060,36,1059,36,1058,35,1058,35,1058,36,1057,36,1057,36,1057,37,1057,36,1058,37,1057,37,1058,38,1058,39,1058,39,1059,38,1058,36,1059,38,1058,40,1060,39,1062,37,1059,36,1058,36,1059,28,1071,27,1069,28,1065,27,1067,27,1069
6,2024-04-20 18:29:22.350753,2024-04-20 18:29:32.119132,357,1176,347,1175,339,1178,329,1180,315,1149,309,1151,305,1149,306,1151,306,1151,309,1152,309,1152,312,1152,313,1152,310,1151,307,1154,283,1143,279,1144,273,1141,263,1138,266,1187,262,1185,261,1185,264,1138,278,1140,304,1153,311,1149,317,1146,327,1152,332,1151,336,1149,324,1150,323,1153,314,1173,313,1154,305,1152,304,1178,305,1175,306,1154,317,1151,321,1148,328,1153,333,1185,338,1149,336,1182,336,1151,331,1184,330,1149,338,1151,337,1176,337,1149
23,2024-04-20 18:29:30.715760,2024-04-20 18:29:33.460836,1209,1115,1231,1119,1215,1135
1,2024-04-20 18:29:20.848307,2024-04-20 18:29:33.659323,1105,968,1104,967,1100,972,1106,967,1105,964,1101,963,971,962,971,960,1084,958,1088,962,1096,974,1110,969,1108,950,1114,943,1113,952,1115,954,1113,952,1111,955,1113,954,1114,955,1110,954,1114,955,1113,958,1107,956,1107,956,1104,950,1105,959,1109,959,1112,961,1112,955,1108,959,1107,959,1107,965,1110,969,1107,959,1108,964,1107,960,1113,950,1111,946,1109,943,1105,943,1104,945,1108,946,1109,941,1107,950,1099,955,1093,958,1100,953,1108,939,1110,929,1107,927,1111,930,1109,936,1108,935,1101,945,1101,947,1111,952,1115,959,1117,979,1114,984,1115,970,1260,975,1389,957,1408,956,1498,966,1558,961,1517,966
29,2024-04-20 18:29:36.458472,2024-04-20 18:29:40.428141,1384,1140,1341,1144,1298,1158,1174,1138,1187,1148
31,2024-04-20 18:29:38.388962,2024-04-20 18:29:41.914017,997,1182,969,1182,936,1180,899,1179,850,1148
3,2024-04-20 18:29:20.848307,2024-04-20 18:29:44.739480,433,1184,432,1183,461,1188,433,1188,432,1188,424,1185,406,1179,403,1182,393,1184,392,1184,458,1188,451,1188,435,1192,432,1189,433,1186,430,1182,431,1183,434,1181,433,1182,433,1181,436,1182,436,1181,437,1182,433,1179,431,1180,431,1180,429,1180,427,1179,425,1183,424,1183,422,1181,409,1180,409,1179,411,1178,428,1184,457,1182,464,1185,479,1180,472,1152,482,1133,482,1134,481,1139,473,1185,470,1185,475,1125,469,1184,472,1180,476,1179,473,1141,482,1158,483,1179,468,1187,470,1184,462,1191,458,1189,461,1191,463,1190,489,1188,494,1188,489,1188,600,1230,633,1192,631,1237,632,1189,628,1237,632,1189,630,1236,632,1236,638,1190,639,1191,638,1191,636,1236,635,1237,631,1235,632,1236,635,1191,632,1235,637,1193,635,1187,639,1186,640,1185,641,1184,640,1186,643,1187,641,1186,639,1187,638,1188,644,1186,642,1186,641,1185,639,1189,642,1188,634,1187,641,1190,622,1185,611,1171,607,1171,606,1171,604,1173,614,1183,612,1187,612,1196,614,1187,606,1233,619,1186,620,1240,626,1184,626,1190,626,1188,625,1188,628,1191,628,1190
25,2024-04-20 18:29:32.336552,2024-04-20 18:29:46.677525,1572,974,1568,978,1555,977,1525,962,1560,974,1560,976,1559,971,1559,969,1555,968,1563,963,1560,969,1571,971,1568,973,1566,973,1567,971,1566,970,1567,969,1557,968,1566,967,1565,967,1564,970,1568,967,1565,965,1568,966,1563,964,1564,966,1562,963,1570,963,1566,971,1570,968,1568,962,1565,966,1571,968,1545,975,1394,970,1399,968,1401,968,1401,967,1506,962,1516,961,1523,965,1519,965
8,2024-04-20 18:29:28.495316,2024-04-20 18:29:50.736702,557,1134,563,1130,584,1126,627,1091,655,1095,656,1088,647,1098,719,1096,728,1102,764,1102,778,1113,796,1102,805,1113,805,1112,818,1104,819,1103,820,1115,820,1115,819,1115,821,1115,819,1116,819,1115,819,1116,818,1116,819,1116,819,1116,806,1112,802,1102,793,1101,781,1112,770,1112,767,1112,765,1112,767,1112,767,1112,767,1112,766,1112,764,1104,763,1112,764,1104,762,1104,759,1104,755,1114,755,1113,756,1102,754,1103,750,1104,771,1114,747,1115,746,1113,751,1113,748,1112,750,1113,756,1113,753,1113,754,1115,755,1116,754,1113,759,1112,760,1112,757,1114,773,1119,764,1099,753,1099,756,1101,755,1114,755,1113,756,1101,758,1116,880,1187
18,2024-04-20 18:29:30.431527,2024-04-20 18:29:50.736702,1115,1099,1118,1145,1144,1183,1159,1192,1163,1191,1138,1189,1167,1180,1159,1185,1163,1189,1172,1184,1171,1179,1172,1179,1175,1143,1186,1140,1193,1147,1201,1143,1208,1145,1221,1148,1233,1149,1205,1175,1216,1149,1220,1147,1208,1142,1195,1139,1176,1147,1167,1149,1164,1149,1163,1145,1151,1148,1165,1147,1168,1142,1172,1186,1189,1181,1195,1176,1196,1174,1214,1151,1216,1150,1219,1150,1219,1150,1216,1154,1218,1153,1231,1150,1227,1145,1211,1180,1223,1146,1211,1148,1205,1146,1192,1137,1174,1140,1167,1186,1163,1190,1160,1186,1160,1183,1164,1137,1164,1136,1162,1183,1173,1147,1185,1138,1188,1141,1196,1147,1202,1148,1204,1153,1208,1151,1203,1179,1204,1180,1202,1182,1203,1176,1202,1176,1199,1179,1200,1177,1213,1151,1212,1148,1193,1146,1191,1150,1188,1147,1189,1141,1193,1141,1165,1134
